Iteration;Value;Population;Vector_len;Test;Mutation
0;0.00971783570133801;50;4;michalewicz;de_best_2
1;0.0028099303269334963;50;4;michalewicz;de_best_2
2;0.0028099303269334963;50;4;michalewicz;de_best_2
3;0.0028099303269334963;50;4;michalewicz;de_best_2
4;0.0028099303269334963;50;4;michalewicz;de_best_2
5;0.0028099303269334963;50;4;michalewicz;de_best_2
6;0.0028099303269334963;50;4;michalewicz;de_best_2
7;0.0028099303269334963;50;4;michalewicz;de_best_2
8;0.0028099303269334963;50;4;michalewicz;de_best_2
9;0.0028099303269334963;50;4;michalewicz;de_best_2
10;0.0028099303269334963;50;4;michalewicz;de_best_2
11;0.0028099303269334963;50;4;michalewicz;de_best_2
12;0.0028099303269334963;50;4;michalewicz;de_best_2
13;0.0017418281744331354;50;4;michalewicz;de_best_2
14;0.0017418281744331354;50;4;michalewicz;de_best_2
15;0.0017418281744331354;50;4;michalewicz;de_best_2
16;0.0017418281744331354;50;4;michalewicz;de_best_2
17;0.0017418281744331354;50;4;michalewicz;de_best_2
18;0.0017418281744331354;50;4;michalewicz;de_best_2
19;0.0017418281744331354;50;4;michalewicz;de_best_2
20;0.0017418281744331354;50;4;michalewicz;de_best_2
21;0.0017418281744331354;50;4;michalewicz;de_best_2
22;0.0017418281744331354;50;4;michalewicz;de_best_2
23;0.0017418281744331354;50;4;michalewicz;de_best_2
24;0.0017418281744331354;50;4;michalewicz;de_best_2
25;0.0017418281744331354;50;4;michalewicz;de_best_2
26;0.0017418281744331354;50;4;michalewicz;de_best_2
27;0.0017418281744331354;50;4;michalewicz;de_best_2
28;0.0017418281744331354;50;4;michalewicz;de_best_2
29;0.0017418281744331354;50;4;michalewicz;de_best_2
30;0.0017418281744331354;50;4;michalewicz;de_best_2
31;0.0017418281744331354;50;4;michalewicz;de_best_2
32;0.0017418281744331354;50;4;michalewicz;de_best_2
33;3.315758952977983e-05;50;4;michalewicz;de_best_2
34;3.315758952977983e-05;50;4;michalewicz;de_best_2
35;3.315758952977983e-05;50;4;michalewicz;de_best_2
36;3.315758952977983e-05;50;4;michalewicz;de_best_2
37;3.315758952977983e-05;50;4;michalewicz;de_best_2
38;3.315758952977983e-05;50;4;michalewicz;de_best_2
39;3.315758952977983e-05;50;4;michalewicz;de_best_2
40;3.315758952977983e-05;50;4;michalewicz;de_best_2
41;3.315758952977983e-05;50;4;michalewicz;de_best_2
42;3.315758952977983e-05;50;4;michalewicz;de_best_2
43;3.315758952977983e-05;50;4;michalewicz;de_best_2
44;3.315758952977983e-05;50;4;michalewicz;de_best_2
45;3.315758952977983e-05;50;4;michalewicz;de_best_2
46;3.315758952977983e-05;50;4;michalewicz;de_best_2
47;3.315758952977983e-05;50;4;michalewicz;de_best_2
48;3.315758952977983e-05;50;4;michalewicz;de_best_2
49;3.315758952977983e-05;50;4;michalewicz;de_best_2
50;3.315758952977983e-05;50;4;michalewicz;de_best_2
51;3.315758952977983e-05;50;4;michalewicz;de_best_2
52;3.315758952977983e-05;50;4;michalewicz;de_best_2
53;3.315758952977983e-05;50;4;michalewicz;de_best_2
54;3.315758952977983e-05;50;4;michalewicz;de_best_2
55;3.315758952977983e-05;50;4;michalewicz;de_best_2
