Iteration;Value;Population;Vector_len;Test;Mutation
0;0.9583149449858527;12;2;michalewicz;de_best_2
1;1.2805319019085784;12;2;michalewicz;de_best_2
2;1.2805319019085784;12;2;michalewicz;de_best_2
3;1.2805319019085784;12;2;michalewicz;de_best_2
4;1.7009284728826393;12;2;michalewicz;de_best_2
5;1.7009284728826393;12;2;michalewicz;de_best_2
6;1.7009284728826393;12;2;michalewicz;de_best_2
7;1.7219593913297797;12;2;michalewicz;de_best_2
8;1.7219593913297797;12;2;michalewicz;de_best_2
9;1.7219593913297797;12;2;michalewicz;de_best_2
10;1.7219593913297797;12;2;michalewicz;de_best_2
11;1.7219593913297797;12;2;michalewicz;de_best_2
12;1.7219593913297797;12;2;michalewicz;de_best_2
13;1.7219593913297797;12;2;michalewicz;de_best_2
14;1.7219593913297797;12;2;michalewicz;de_best_2
15;1.7219593913297797;12;2;michalewicz;de_best_2
16;1.7219593913297797;12;2;michalewicz;de_best_2
17;1.7219593913297797;12;2;michalewicz;de_best_2
18;1.7219593913297797;12;2;michalewicz;de_best_2
19;1.7219593913297797;12;2;michalewicz;de_best_2
20;1.7219593913297797;12;2;michalewicz;de_best_2
21;1.7219593913297797;12;2;michalewicz;de_best_2
22;1.7219593913297797;12;2;michalewicz;de_best_2
23;1.7219593913297797;12;2;michalewicz;de_best_2
24;1.7219593913297797;12;2;michalewicz;de_best_2
25;1.7219593913297797;12;2;michalewicz;de_best_2
26;1.7219593913297797;12;2;michalewicz;de_best_2
27;1.7219593913297797;12;2;michalewicz;de_best_2
28;1.7219593913297797;12;2;michalewicz;de_best_2
29;1.8448087535254771;12;2;michalewicz;de_best_2
30;1.8600355557115207;12;2;michalewicz;de_best_2
31;1.8600355557115207;12;2;michalewicz;de_best_2
32;1.8600355557115207;12;2;michalewicz;de_best_2
33;1.8600355557115207;12;2;michalewicz;de_best_2
34;1.8600355557115207;12;2;michalewicz;de_best_2
35;1.8600355557115207;12;2;michalewicz;de_best_2
36;1.8600355557115207;12;2;michalewicz;de_best_2
37;1.8600355557115207;12;2;michalewicz;de_best_2
38;1.8600355557115207;12;2;michalewicz;de_best_2
39;1.8600355557115207;12;2;michalewicz;de_best_2
40;1.8600355557115207;12;2;michalewicz;de_best_2
41;1.8600355557115207;12;2;michalewicz;de_best_2
42;1.8600355557115207;12;2;michalewicz;de_best_2
43;1.8600355557115207;12;2;michalewicz;de_best_2
44;1.8600355557115207;12;2;michalewicz;de_best_2
45;1.8600355557115207;12;2;michalewicz;de_best_2
46;1.8600355557115207;12;2;michalewicz;de_best_2
47;1.8600355557115207;12;2;michalewicz;de_best_2
48;1.8600355557115207;12;2;michalewicz;de_best_2
49;1.8600355557115207;12;2;michalewicz;de_best_2
50;1.8600355557115207;12;2;michalewicz;de_best_2
51;1.8600355557115207;12;2;michalewicz;de_best_2
52;1.8600355557115207;12;2;michalewicz;de_best_2
53;1.8600355557115207;12;2;michalewicz;de_best_2
54;1.8600355557115207;12;2;michalewicz;de_best_2
55;1.8600355557115207;12;2;michalewicz;de_best_2
56;1.8600355557115207;12;2;michalewicz;de_best_2
57;1.8600355557115207;12;2;michalewicz;de_best_2
58;1.8600355557115207;12;2;michalewicz;de_best_2
59;1.8600355557115207;12;2;michalewicz;de_best_2
60;1.8600355557115207;12;2;michalewicz;de_best_2
61;1.8600355557115207;12;2;michalewicz;de_best_2
62;1.8600355557115207;12;2;michalewicz;de_best_2
63;1.8600355557115207;12;2;michalewicz;de_best_2
64;1.8600355557115207;12;2;michalewicz;de_best_2
65;1.8600355557115207;12;2;michalewicz;de_best_2
66;1.8600355557115207;12;2;michalewicz;de_best_2
67;1.8600355557115207;12;2;michalewicz;de_best_2
68;1.8600355557115207;12;2;michalewicz;de_best_2
69;1.8600355557115207;12;2;michalewicz;de_best_2
70;1.8600355557115207;12;2;michalewicz;de_best_2
71;1.8600355557115207;12;2;michalewicz;de_best_2
72;1.8600355557115207;12;2;michalewicz;de_best_2
73;1.8600355557115207;12;2;michalewicz;de_best_2
74;1.8600355557115207;12;2;michalewicz;de_best_2
75;1.8600355557115207;12;2;michalewicz;de_best_2
76;1.8600355557115207;12;2;michalewicz;de_best_2
77;1.8600355557115207;12;2;michalewicz;de_best_2
78;1.8600355557115207;12;2;michalewicz;de_best_2
79;1.8600355557115207;12;2;michalewicz;de_best_2
80;1.8600355557115207;12;2;michalewicz;de_best_2
81;1.8600355557115207;12;2;michalewicz;de_best_2
82;1.8600355557115207;12;2;michalewicz;de_best_2
83;1.8600355557115207;12;2;michalewicz;de_best_2
84;1.8600355557115207;12;2;michalewicz;de_best_2
85;1.8600355557115207;12;2;michalewicz;de_best_2
86;1.8600355557115207;12;2;michalewicz;de_best_2
87;1.8600355557115207;12;2;michalewicz;de_best_2
88;1.8600355557115207;12;2;michalewicz;de_best_2
89;1.8600355557115207;12;2;michalewicz;de_best_2
90;1.8600355557115207;12;2;michalewicz;de_best_2
91;1.8600355557115207;12;2;michalewicz;de_best_2
92;1.8600355557115207;12;2;michalewicz;de_best_2
93;1.8600355557115207;12;2;michalewicz;de_best_2
94;1.8600355557115207;12;2;michalewicz;de_best_2
95;1.865323091633386;12;2;michalewicz;de_best_2
96;1.865323091633386;12;2;michalewicz;de_best_2
97;1.865323091633386;12;2;michalewicz;de_best_2
98;1.865323091633386;12;2;michalewicz;de_best_2
99;1.865323091633386;12;2;michalewicz;de_best_2
0;2.042784976484328;12;4;michalewicz;de_best_2
1;2.058414313048843;12;4;michalewicz;de_best_2
2;2.058414313048843;12;4;michalewicz;de_best_2
3;2.539118950326295;12;4;michalewicz;de_best_2
4;2.539118950326295;12;4;michalewicz;de_best_2
5;2.539118950326295;12;4;michalewicz;de_best_2
6;2.539118950326295;12;4;michalewicz;de_best_2
7;2.539118950326295;12;4;michalewicz;de_best_2
8;2.539118950326295;12;4;michalewicz;de_best_2
9;2.539118950326295;12;4;michalewicz;de_best_2
10;2.539118950326295;12;4;michalewicz;de_best_2
11;2.539118950326295;12;4;michalewicz;de_best_2
12;2.539118950326295;12;4;michalewicz;de_best_2
13;2.539118950326295;12;4;michalewicz;de_best_2
14;2.539118950326295;12;4;michalewicz;de_best_2
15;2.799502721829842;12;4;michalewicz;de_best_2
16;2.8032499470315937;12;4;michalewicz;de_best_2
17;2.8032499470315937;12;4;michalewicz;de_best_2
18;2.8032499470315937;12;4;michalewicz;de_best_2
19;2.8032499470315937;12;4;michalewicz;de_best_2
20;2.8032499470315937;12;4;michalewicz;de_best_2
21;2.8032499470315937;12;4;michalewicz;de_best_2
22;2.8032499470315937;12;4;michalewicz;de_best_2
23;2.8032499470315937;12;4;michalewicz;de_best_2
24;2.8032499470315937;12;4;michalewicz;de_best_2
25;2.8032499470315937;12;4;michalewicz;de_best_2
26;2.8032499470315937;12;4;michalewicz;de_best_2
27;2.8032499470315937;12;4;michalewicz;de_best_2
28;2.8032499470315937;12;4;michalewicz;de_best_2
29;2.8032499470315937;12;4;michalewicz;de_best_2
30;2.8032499470315937;12;4;michalewicz;de_best_2
31;2.8032499470315937;12;4;michalewicz;de_best_2
32;2.8032499470315937;12;4;michalewicz;de_best_2
33;2.8032499470315937;12;4;michalewicz;de_best_2
34;2.8032499470315937;12;4;michalewicz;de_best_2
35;2.8032499470315937;12;4;michalewicz;de_best_2
36;2.8032499470315937;12;4;michalewicz;de_best_2
37;2.8032499470315937;12;4;michalewicz;de_best_2
38;2.8032499470315937;12;4;michalewicz;de_best_2
39;2.8032499470315937;12;4;michalewicz;de_best_2
40;2.8032499470315937;12;4;michalewicz;de_best_2
41;2.8032499470315937;12;4;michalewicz;de_best_2
42;2.8032499470315937;12;4;michalewicz;de_best_2
43;2.8032499470315937;12;4;michalewicz;de_best_2
44;2.8032499470315937;12;4;michalewicz;de_best_2
45;2.8032499470315937;12;4;michalewicz;de_best_2
46;2.8032499470315937;12;4;michalewicz;de_best_2
47;3.1903601164967856;12;4;michalewicz;de_best_2
48;3.1903601164967856;12;4;michalewicz;de_best_2
49;3.1903601164967856;12;4;michalewicz;de_best_2
50;3.1903601164967856;12;4;michalewicz;de_best_2
51;3.1903601164967856;12;4;michalewicz;de_best_2
52;3.1903601164967856;12;4;michalewicz;de_best_2
53;3.1903601164967856;12;4;michalewicz;de_best_2
54;3.1903601164967856;12;4;michalewicz;de_best_2
55;3.1903601164967856;12;4;michalewicz;de_best_2
56;3.1903601164967856;12;4;michalewicz;de_best_2
57;3.1903601164967856;12;4;michalewicz;de_best_2
58;3.1903601164967856;12;4;michalewicz;de_best_2
59;3.1903601164967856;12;4;michalewicz;de_best_2
60;3.1903601164967856;12;4;michalewicz;de_best_2
61;3.1903601164967856;12;4;michalewicz;de_best_2
62;3.1903601164967856;12;4;michalewicz;de_best_2
63;3.1903601164967856;12;4;michalewicz;de_best_2
64;3.1903601164967856;12;4;michalewicz;de_best_2
65;3.1903601164967856;12;4;michalewicz;de_best_2
66;3.1903601164967856;12;4;michalewicz;de_best_2
67;3.1903601164967856;12;4;michalewicz;de_best_2
68;3.1903601164967856;12;4;michalewicz;de_best_2
69;3.1903601164967856;12;4;michalewicz;de_best_2
70;3.1903601164967856;12;4;michalewicz;de_best_2
71;3.1903601164967856;12;4;michalewicz;de_best_2
72;3.1903601164967856;12;4;michalewicz;de_best_2
73;3.1903601164967856;12;4;michalewicz;de_best_2
74;3.1903601164967856;12;4;michalewicz;de_best_2
75;3.1903601164967856;12;4;michalewicz;de_best_2
76;3.1903601164967856;12;4;michalewicz;de_best_2
77;3.1903601164967856;12;4;michalewicz;de_best_2
78;3.1903601164967856;12;4;michalewicz;de_best_2
79;3.1903601164967856;12;4;michalewicz;de_best_2
80;3.1903601164967856;12;4;michalewicz;de_best_2
81;3.1903601164967856;12;4;michalewicz;de_best_2
82;3.1903601164967856;12;4;michalewicz;de_best_2
83;3.1903601164967856;12;4;michalewicz;de_best_2
84;3.1903601164967856;12;4;michalewicz;de_best_2
85;3.1903601164967856;12;4;michalewicz;de_best_2
86;3.1903601164967856;12;4;michalewicz;de_best_2
87;3.1903601164967856;12;4;michalewicz;de_best_2
88;3.1903601164967856;12;4;michalewicz;de_best_2
89;3.1903601164967856;12;4;michalewicz;de_best_2
90;3.1903601164967856;12;4;michalewicz;de_best_2
91;3.1903601164967856;12;4;michalewicz;de_best_2
92;3.1903601164967856;12;4;michalewicz;de_best_2
93;3.1903601164967856;12;4;michalewicz;de_best_2
94;3.1903601164967856;12;4;michalewicz;de_best_2
95;3.1903601164967856;12;4;michalewicz;de_best_2
96;3.1903601164967856;12;4;michalewicz;de_best_2
97;3.1903601164967856;12;4;michalewicz;de_best_2
98;3.1903601164967856;12;4;michalewicz;de_best_2
99;3.1903601164967856;12;4;michalewicz;de_best_2
0;2.3447277384598864;12;8;michalewicz;de_best_2
1;3.8691708652397008;12;8;michalewicz;de_best_2
2;3.8691708652397008;12;8;michalewicz;de_best_2
3;3.8691708652397008;12;8;michalewicz;de_best_2
4;3.8691708652397008;12;8;michalewicz;de_best_2
5;3.8691708652397008;12;8;michalewicz;de_best_2
6;3.8691708652397008;12;8;michalewicz;de_best_2
7;3.8691708652397008;12;8;michalewicz;de_best_2
8;3.8691708652397008;12;8;michalewicz;de_best_2
9;3.8691708652397008;12;8;michalewicz;de_best_2
10;3.8691708652397008;12;8;michalewicz;de_best_2
11;3.8691708652397008;12;8;michalewicz;de_best_2
12;3.8691708652397008;12;8;michalewicz;de_best_2
13;3.8691708652397008;12;8;michalewicz;de_best_2
14;3.8691708652397008;12;8;michalewicz;de_best_2
15;3.9697220492957412;12;8;michalewicz;de_best_2
16;3.9697220492957412;12;8;michalewicz;de_best_2
17;3.9697220492957412;12;8;michalewicz;de_best_2
18;3.9697220492957412;12;8;michalewicz;de_best_2
19;3.9697220492957412;12;8;michalewicz;de_best_2
20;3.9697220492957412;12;8;michalewicz;de_best_2
21;3.9697220492957412;12;8;michalewicz;de_best_2
